class;source;target;total;path
ISBNtoBibTeXFetcher;11;0;11;src/main/java/net/sf/jabref/importer/fetcher/ISBNtoBibTeXFetcher.java
StringRemoveChange;11;0;11;src/main/java/net/sf/jabref/collab/StringRemoveChange.java
PreambleChange;11;0;11;src/main/java/net/sf/jabref/collab/PreambleChange.java
TimeStamp;11;0;11;src/main/java/net/sf/jabref/logic/util/date/TimeStamp.java
Defaults;0;11;11;src/main/java/net/sf/jabref/Defaults.java
FreeCiteImporter;10;0;10;src/main/java/net/sf/jabref/importer/fileformat/FreeCiteImporter.java
SpecialField;10;0;10;src/main/java/net/sf/jabref/specialfields/SpecialField.java
Quality;10;0;10;src/main/java/net/sf/jabref/specialfields/Quality.java
RemotePreferences;7;3;10;src/main/java/net/sf/jabref/logic/remote/RemotePreferences.java
EasyDateFormat;5;5;10;src/main/java/net/sf/jabref/logic/util/date/EasyDateFormat.java
ACMPortalFetcher;9;0;9;src/main/java/net/sf/jabref/importer/fetcher/ACMPortalFetcher.java
FileUtil;9;0;9;src/main/java/net/sf/jabref/logic/util/io/FileUtil.java
CustomEntryType;0;9;9;src/main/java/net/sf/jabref/model/entry/CustomEntryType.java
Printed;9;0;9;src/main/java/net/sf/jabref/specialfields/Printed.java
Relevance;9;0;9;src/main/java/net/sf/jabref/specialfields/Relevance.java
ExportFormat;8;0;8;src/main/java/net/sf/jabref/exporter/ExportFormat.java
FieldFormatterCleanup;0;8;8;src/main/java/net/sf/jabref/logic/cleanup/FieldFormatterCleanup.java
GoogleScholarFetcher;7;0;7;src/main/java/net/sf/jabref/importer/fetcher/GoogleScholarFetcher.java
XMPSchemaBibtex;7;0;7;src/main/java/net/sf/jabref/logic/xmp/XMPSchemaBibtex.java
WrapFileLinks;7;0;7;src/main/java/net/sf/jabref/logic/layout/format/WrapFileLinks.java
HtmlToLatexFormatter;5;2;7;src/main/java/net/sf/jabref/logic/formatter/bibtexfields/HtmlToLatexFormatter.java
FileLink;7;0;7;src/main/java/net/sf/jabref/logic/layout/format/FileLink.java
DBStrings;2;5;7;src/main/java/net/sf/jabref/sql/DBStrings.java
FileHistory;7;0;7;src/main/java/net/sf/jabref/logic/util/io/FileHistory.java
LastFocusedTabPreferences;7;0;7;src/main/java/net/sf/jabref/logic/preferences/LastFocusedTabPreferences.java
VersionPreferences;5;2;7;src/main/java/net/sf/jabref/logic/util/VersionPreferences.java
OpenDatabaseAction;0;6;6;src/main/java/net/sf/jabref/importer/OpenDatabaseAction.java
PreviewPanel;0;6;6;src/main/java/net/sf/jabref/gui/PreviewPanel.java
FetcherPreviewDialog;0;6;6;src/main/java/net/sf/jabref/gui/FetcherPreviewDialog.java
GroupTreeNode;0;6;6;src/main/java/net/sf/jabref/logic/groups/GroupTreeNode.java
BibEntryWriter;6;0;6;src/main/java/net/sf/jabref/logic/bibtex/BibEntryWriter.java
JabRefExecutorService;0;6;6;src/main/java/net/sf/jabref/JabRefExecutorService.java
MetaDataChange;6;0;6;src/main/java/net/sf/jabref/collab/MetaDataChange.java
AbstractLabelPattern;2;4;6;src/main/java/net/sf/jabref/logic/labelpattern/AbstractLabelPattern.java
UndoableInsertString;0;6;6;src/main/java/net/sf/jabref/gui/undo/UndoableInsertString.java
DatabaseFileLookup;6;0;6;src/main/java/net/sf/jabref/importer/DatabaseFileLookup.java
UndoableInsertEntry;0;6;6;src/main/java/net/sf/jabref/gui/undo/UndoableInsertEntry.java
CustomEntryTypesManager;6;0;6;src/main/java/net/sf/jabref/logic/CustomEntryTypesManager.java
FileListEntry;0;6;6;src/main/java/net/sf/jabref/gui/FileListEntry.java
GlobalLabelPattern;1;5;6;src/main/java/net/sf/jabref/logic/labelpattern/GlobalLabelPattern.java
ArgumentProcessor;5;0;5;src/main/java/net/sf/jabref/cli/ArgumentProcessor.java
BibEntry;5;0;5;src/main/java/net/sf/jabref/model/entry/BibEntry.java
JabRefDesktop;0;5;5;src/main/java/net/sf/jabref/gui/desktop/JabRefDesktop.java
SearchGroup;5;0;5;src/main/java/net/sf/jabref/logic/groups/SearchGroup.java
SaveSession;5;0;5;src/main/java/net/sf/jabref/exporter/SaveSession.java
DOItoBibTeXFetcher;5;0;5;src/main/java/net/sf/jabref/importer/fetcher/DOItoBibTeXFetcher.java
NameFormatter;5;0;5;src/main/java/net/sf/jabref/logic/layout/format/NameFormatter.java
DiVAtoBibTeXFetcher;5;0;5;src/main/java/net/sf/jabref/importer/fetcher/DiVAtoBibTeXFetcher.java
BibtexImporter;5;0;5;src/main/java/net/sf/jabref/importer/fileformat/BibtexImporter.java
TypedBibEntry;5;0;5;src/main/java/net/sf/jabref/logic/TypedBibEntry.java
DatabaseUtil;5;0;5;src/main/java/net/sf/jabref/sql/DatabaseUtil.java
UpgradePdfPsToFileCleanup;5;0;5;src/main/java/net/sf/jabref/logic/cleanup/UpgradePdfPsToFileCleanup.java
FieldContentParser;5;0;5;src/main/java/net/sf/jabref/logic/bibtex/FieldContentParser.java
AbstractWorker;0;5;5;src/main/java/net/sf/jabref/gui/worker/AbstractWorker.java
OS;0;5;5;src/main/java/net/sf/jabref/logic/util/OS.java
LatexToUnicodeFormatter;4;0;4;src/main/java/net/sf/jabref/logic/layout/format/LatexToUnicodeFormatter.java
EntryTypeDialog;0;4;4;src/main/java/net/sf/jabref/gui/EntryTypeDialog.java
CrossrefFetcherEvaluator;4;0;4;src/main/java/net/sf/jabref/importer/fetcher/CrossrefFetcherEvaluator.java
UndoableFieldChange;0;4;4;src/main/java/net/sf/jabref/gui/undo/UndoableFieldChange.java
UndoableStringChange;0;4;4;src/main/java/net/sf/jabref/gui/undo/UndoableStringChange.java
EntryEditorTabList;0;4;4;src/main/java/net/sf/jabref/gui/entryeditor/EntryEditorTabList.java
Change;4;0;4;src/main/java/net/sf/jabref/collab/Change.java
JabRefException;0;4;4;src/main/java/net/sf/jabref/JabRefException.java
BibDatabaseMode;0;4;4;src/main/java/net/sf/jabref/model/database/BibDatabaseMode.java
FileLinksCleanup;4;0;4;src/main/java/net/sf/jabref/logic/cleanup/FileLinksCleanup.java
EntryFromExternalFileCreator;4;0;4;src/main/java/net/sf/jabref/importer/EntryFromExternalFileCreator.java
EntryFetcher;4;0;4;src/main/java/net/sf/jabref/importer/fetcher/EntryFetcher.java
NativeDesktop;0;4;4;src/main/java/net/sf/jabref/gui/desktop/os/NativeDesktop.java
BibtexParser;3;0;3;src/main/java/net/sf/jabref/importer/fileformat/BibtexParser.java
LayoutEntry;3;0;3;src/main/java/net/sf/jabref/logic/layout/LayoutEntry.java
MainTable;0;3;3;src/main/java/net/sf/jabref/gui/maintable/MainTable.java
IntegrityCheck;3;0;3;src/main/java/net/sf/jabref/logic/integrity/IntegrityCheck.java
GroupTreeNodeViewModel;0;3;3;src/main/java/net/sf/jabref/gui/groups/GroupTreeNodeViewModel.java
OAI2Fetcher;3;0;3;src/main/java/net/sf/jabref/importer/fetcher/OAI2Fetcher.java
MedlineFetcher;3;0;3;src/main/java/net/sf/jabref/importer/fetcher/MedlineFetcher.java
HTMLChars;3;0;3;src/main/java/net/sf/jabref/logic/layout/format/HTMLChars.java
