;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total;DAC;LD;MPC
495;NormalizeDateFormatter;0;0;0;0;1;0;0;5;26;9;1;0;2;20;36;6;8;89;33;43839;13;44005;1;8;41306;3;4;15342;13881;461;56;13;13;15;43851;0;0;2;2;15;0.9;0;0;17;1;8;4;1459521143;0;2;2;2;0;4
496;NormalizeMonthFormatter;0;0;0;0;0;0;0;1;11;6;1;0;4;11;15;6;6;42;21;43960;5;0;1;5;2;3;3;47119;43922;462;33;8;8;0;0;1;0;1;1;5;0.5;0;0;9;1;5;4;1459521143;0;2;2;4;0;4
497;NormalizeNamesFormatter;0;0;0;0;0;0;0;1;10;6;1;0;3;10;15;5;6;53;16;0;4;34;1;5;43862;1;2;43983;1;463;27;5;5;1;43985;0;0;1;1;5;0.6;0;0;6;1;5;3;1459521143;0;0;0;3;0;4
498;NormalizePagesFormatter;0;0;0;0;1;0;0;7;37;9;1;0;3;23;34;7;8;100;37;44053;17;29;1;7;20852;5;4;16803;20821;464;55;13;13;23;43980;0;52;2;2;35;43832;0;0;17;1;7;7;1459521143;0;2;2;2;1;4
499;NoSpaceBetweenAbbreviations;0;0;0;0;0;0;0;0;5;2;1;0;1;4;1;4;2;49;5;0;1;77.6;1;1;1;1;2;0.6;1;569;8;1;1;17;68;0;0;1;1;5;43832;0;0;1;1;1;11;1364106558;0;0;0;1;0;0
500;NotFoundFormatter;0;0;0;0;0;0;0;0;7;3;1;0;2;9;0;1;3;43;11;0;1;44.2;1;3;1;1;2;0.91;1;570;16;2;2;2;43841;1;0;1;1;5;1;0;0;3;2;2;13;1364106558;0;0;0;2;1;1
501;NotMatcher;0;0;0;0;0;0;0;0;6;2;1;0;2;5;0;2;2;27;10;0;2;44099;1;2;1;1;2;0.7;1;634;14;2;2;5;43916;1;0;1;1;5;43862;0;0;2;2;2;2;1455726212;0;0;0;2;1;1
502;Number;0;0;0;0;0;0;0;0;8;3;1;0;2;5;3;1;3;36;7;0;1;55.6;1;2;0.5;1;2;0.57;1;571;12;2;2;3;20;0;0;1;1;5;43922;0;0;1;1;2;12;1364106558;0;0;0;2;0;0
503;OAI2Fetcher;0;0;0;0;7;0;1;19;112;13;1;0;12;65;58;2;11;315;143;44085;77;44038;1;13;22798;9;6;43892;21217;376;189;34;34;42;43879;1;0;7;7;60;43831;0;0;82;7;12;78;1364106558;3;0;3;10;0.916666667;14
504;OAI2Handler;0;0;4;4;5;10;0;11;65;6;2;0;1;23;0;2;6;121;64;44095;45;43879;1;6;30498;16;4;41306;43954;346;80;22;22;4;44047;1;0;5;4;62;43984;0;1;47;2;6;25;1364106558;0;0;0;1;1;3
505;OOBibBase;0;0;1;1;95;38;8;297;875;36;1;0;66;236;372;3;16;1298;772;44094;593;43962;2;43969;14154;13;9+;31444;20515;260;1006;212;106;122;44053;12;0;98;94;3265;44053;0;4;613;15;39;82;1364106558;0;0;0;17;0.766666667;65
506;OOBibStyle;0;0;0;0;99;31;5;77;495;45;1;0;13;116;770;9;29;930;483;43910;285;44068;4;43961;45505;22;8;17199;20880;609;614;148;74;157;43941;8;0;15;15;260;43922;0;0;329;20;36;79;1364106558;2;0;2;12;0.825;15
507;OOCalcDatabase;0;0;1;1;2;5;0;47;84;5;1;0;9;35;6;1;2;222;163;0;188;43994;1;1;141;0;2;27395;0;53;178;7;7;10;43895;1;94;6;6;55;1;0;0;144;1;4;42;1364106558;0;0;0;7;0;7
508;OOPreFormatter;0;0;0;0;32;15;3;44;134;4;1;0;3;26;4;5;2;245;135;40.7;61;43889;1;2;62.5;41;8;14336;43976;610;162;44;44;47;43973;0;72;12;12;204;43865;0;0;102;1;2;37;1364106558;3;0;3;4;0.333333333;3
509;OOUtil;0;0;0;0;0;10;3;43;119;8;1;0;16;40;26;1;6;303;143;44008;97;44063;2;43954;15;23;4;42036;26085;611;203;41;43971;41;44059;5;0;35;35;1299;43911;0;0;95;8;7;47;1364106558;0;0;0;5;0.555555556;6
510;OpenBrowserAction;0;0;0;0;0;0;0;0;17;3;2;0;1;7;0;1;3;49;19;0;6;32.7;1;3;24504;1;2;43952;1;154;24;3;3;10;43950;1;0;1;1;5;0.7;0;0;8;3;3;1;1467971834;0;0;0;1;1;1
511;OpenDatabaseAction;0;0;1;1;35;16;2;30;176;15;0;0;35;115;43;10;8;411;165;0;216;43969;1;0;0;0;2;17899;0;347;288;60;60;45;43964;3;0;11;10;104;43862;0;1;160;8;10;135;1364106558;0;6;6;30;0.4;72
512;OpenDocumentRepresentation;0;0;1;1;2;5;0;49;92;5;1;0;9;34;4;1;2;229;169;0;190;44054;1;1;146;0;2;27395;0;54;184;8;8;9;44016;1;96;6;6;55;1;0;0;149;1;4;43;1364106558;0;0;0;7;0;7
513;OpenDocumentSpreadsheetCreator;0;0;1;2;7;0;0;19;68;8;0;0;7;57;22;1;2;167;93;43990;54;43938;4;2;27546;4;5;44013;45689;55;116;16;16;10;44081;0;28;6;4;45;43891;0;2;53;2;7;37;1364106558;0;0;0;6;1;5
514;OpenFileFilter;0;0;0;1;2;0;1;4;31;6;2;0;0;27;11;1;5;98;39;43900;28;43942;1;6;30376;3;3;21551;2;124;63;13;13;6;44020;3;0;1;1;5;0.3;0;0;23;3;5;29;1364106558;0;0;0;0;1;0
515;OpenOfficeDocumentCreator;0;0;1;1;7;0;0;7;53;8;0;0;6;47;22;1;2;149;80;43958;41;43848;4;45689;28581;4;5;20090;32509;56;103;15;15;8;43868;0;28;4;2;35;43831;0;2;43;2;7;36;1364106558;0;0;0;5;1;4
516;OpenOfficeFileSearch;0;0;1;1;7;0;0;12;54;7;1;0;1;28;9;1;7;136;59;43981;36;44037;1;5;43929;8;6;12451;44047;612;86;32;32;14;14;4;0;3;3;28;43831;0;0;53;7;6;9;1459277251;0;0;0;0;1;0
517;OpenOfficePanel;0;0;0;1;15;29;3;106;313;49;0;0;46;210;678;3;6;705;446;44023;426;43834;3;12328;30956;16;6;46419;43893;261;586;78;39;12;2;4;0;14;14;307;44013;0;0;325;5;21;120;1313948001;0;0;0;27;0.710526316;85
518;OpenOfficePreferences;0;0;0;0;0;0;0;0;53;20;1;0;2;33;0;6;20;139;63;43983;30;43940;1;20;12785;4;3;13516;42005;613;87;25;25;9;43930;20;0;1;1;5;0.2;0;0;27;21;20;11;1459277251;45;13;58;2;0.142857143;19
519;Ordinal;0;0;0;0;0;0;0;5;18;3;1;0;1;17;1;2;2;62;31;35.5;9;44012;1;1;24;7;5;31809;7;572;37;7;7;2;43835;0;0;2;2;25;43892;0;0;20;1;1;4;1468368000;0;0;0;1;1;0
520;OrdinalsToSuperscriptFormatter;0;0;0;0;0;0;0;1;14;7;1;0;2;14;19;4;6;80;23;43894;7;37.5;1;5;44044;2;3;41275;43862;465;36;7;7;10;44033;0;25;2;2;25;43892;0;0;9;1;5;3;1459521143;0;0;0;2;1;2
521;OrMatcher;0;0;0;0;3;0;0;0;8;2;0;0;3;7;1;2;2;41;10;20;1;51.2;1;1;5;3;4;43922;3;635;15;3;3;4;43851;0;0;1;1;5;43831;0;0;6;1;1;1;1455726212;0;0;0;3;1;1
522;OS;0;0;0;1;1;0;0;0;8;2;1;0;0;6;1;22;1;28;6;0;5;67.9;1;0;0;0;1;0.67;0;648;7;0;0;2;43883;0;0;2;2;35;44028;0;0;0;1;0;17;1439372242;0;5;5;0;0;0
523;OSX;0;0;0;0;1;0;1;11;33;6;1;0;3;23;15;1;6;47;25;8;21;43832;1;5;43923;4;3;46753;43983;172;38;9;9;1;43984;1;0;2;2;13;43831;0;0;11;1;5;13;1457989677;0;0;0;3;0;3
524;OSXCompatibleToolbar;0;0;0;0;1;0;1;1;17;5;5;1;1;11;10;10;5;39;19;43961;5;0;1;5;43983;3;4;11689;43922;123;28;7;7;0;0;4;0;2;2;10;43862;0;0;8;4;5;3;1453833310;0;0;0;1;0;0
525;OutputPrinter;0;0;0;0;0;0;0;0;6;3;1;0;0;3;3;24;3;26;5;0;0;57.7;1;3;0;0;1;0.6;0;348;6;0;0;0;0;4;0;1;1;5;44045;0;0;0;4;3;9;1364106558;0;0;0;0;0;0
526;OverlayPanel;0;0;0;0;2;0;0;0;20;2;5;0;0;20;0;1;2;84;30;0;21;36.9;1;1;17;0;2;43862;0;319;37;4;4;2;43835;1;0;1;1;5;0.5;0;0;18;2;2;15;1364106558;0;0;0;0;1;0
527;OvidImporter;0;0;1;1;13;17;1;138;219;8;0;0;5;47;24;3;6;259;152;44035;162;43964;1;6;43971;35;6;16497;8;396;191;50;50;16;44019;0;18;22;17;189;43893;5;0;123;1;6;58;1364106558;0;0;0;5;1;5
528;PageNumbers;0;0;0;0;0;0;0;15;38;6;1;0;0;21;7;4;4;75;40;43963;23;20;1;5;44047;3;3;26299;2;593;50;9;9;0;0;4;0;1;1;5;0.3;0;0;22;4;5;22;1364106558;0;0;0;0;1;0
529;ParamLayoutFormatter;0;0;0;0;0;0;0;0;2;1;1;0;1;1;0;12;1;35;3;0;0;80;1;1;0;0;1;0.33;0;525;4;0;0;9;69.2;0;0;2;2;7;44048;0;0;0;2;1;11;1364106558;0;0;0;1;0;0
530;ParsedFileField;0;0;0;0;0;0;0;0;23;9;1;0;0;17;0;15;8;68;34;44054;9;0;1;8;13912;5;4;27030;43952;703;54;13;13;0;0;3;0;1;1;5;0.3;0;0;19;3;5;1;1460037394;0;0;0;0;1;0
531;ParseException;0;0;0;0;0;0;0;0;7;2;3;0;0;4;1;19;2;29;6;0;2;55.2;1;2;1;1;2;1;1;397;9;2;2;0;0;3;0;1;1;5;44075;0;0;2;3;2;1;1461951533;0;3;3;0;0;0
532;ParserResult;0;0;0;0;0;0;0;0;61;28;1;0;4;42;316;94;27;191;86;43892;20;43972;1;27;44562;2;3;44927;44013;349;116;15;15;11;44020;9;0;2;2;5;0.1;0;0;33;14;13;58;1364106558;0;0;0;6;1;4
533;ParserResultWarningDialog;0;0;0;0;10;0;1;5;19;3;1;0;4;26;3;4;3;98;38;43874;24;39.8;2;43952;24685;6;4;22647;24504;125;48;8;8;15;44066;0;0;2;2;35;43923;0;0;24;3;2;6;1450447217;0;0;0;3;0;5
534;PasteAction;0;0;0;0;0;0;0;2;11;2;2;0;5;12;0;3;2;45;26;44019;13;44082;1;2;6;3;3;42005;2;155;32;5;5;4;43841;2;0;1;1;5;0.5;0;0;12;2;2;10;1440751140;0;0;0;5;0;4
536;PdfContentImporter;0;0;1;2;43;22;3;88;242;16;0;0;15;75;98;5;7;607;318;44010;189;44003;1;15;18.13;62;9+;23437;44024;398;414;111;111;104;43850;0;0;30;28;291;43892;2;0;254;1;14;71;1364106558;0;0;0;9;0.75;11
537;PdfFileFilter;0;0;0;0;1;0;0;0;12;5;1;0;0;12;10;1;3;45;15;44018;9;33.3;1;3;12086;4;3;46388;2;706;21;7;7;0;0;2;0;1;1;5;0.8;0;0;7;2;3;15;1364106558;0;3;3;0;0;0
538;PdfImporter;0;0;0;2;15;10;3;44;142;8;1;0;34;94;0;3;2;309;176;43905;119;43848;2;43955;24716;4;6;45689;44593;707;208;35;43968;32;43903;3;0;2;2;19;0.3;0;0;118;5;8;95;1304853770;92;0;92;28;0.294117647;74
539;PdfXmpImporter;0;0;0;0;0;0;0;0;16;9;0;0;4;19;36;4;8;91;35;44076;13;43885;1;8;32143;2;3;41640;41275;399;57;13;13;3;5;0;0;4;2;15;0.9;2;0;14;1;8;27;1364106558;0;0;0;4;0;5
540;PersistenceTableColumnListener;0;0;0;1;3;0;1;16;46;8;1;0;3;31;6;1;6;147;49;43871;26;36.7;1;7;25993;6;5;23012;31413;244;66;13;13;20;43913;0;0;1;1;5;0.3;0;0;25;2;7;23;1364106558;0;3;3;4;0.375;2
541;PersonName;0;0;0;0;3;0;0;13;51;13;1;0;2;30;6;3;12;143;64;43997;32;44033;1;13;11383;7;4;30682;2;594;88;19;19;11;43841;4;0;2;2;10;0.4;0;0;42;5;7;36;1364106558;0;0;0;2;1;2
542;PositionWindow;0;0;0;0;0;0;0;21;57;3;1;0;3;21;0;8;3;126;63;43904;28;43942;2;43953;44051;10;5;43863;44045;312;79;12;12;8;43870;4;0;1;1;5;0.2;0;0;39;4;3;8;1446381784;0;0;0;1;0.833333333;6
543;PostgreSQL;0;0;0;0;0;0;0;3;27;9;1;0;7;27;36;1;6;147;45;37.8;16;0.7;1;7;31472;9;4;33970;41671;733;128;22;22;1;0.8;1;82;10;10;79;43832;0;0;19;1;7;1;1460967089;0;0;0;6;0;8
544;PostOpenAction;0;0;0;0;0;0;0;0;5;2;1;0;2;2;1;5;2;52;5;0;0;80.8;1;2;0;0;1;0.4;0;350;6;0;0;18;75;0;0;1;1;5;44045;0;0;0;3;2;8;1364106558;0;1;1;2;0;0
545;PreambleChange;0;0;0;0;2;0;1;1;25;3;0;0;7;16;0;1;3;68;33;43839;35;43852;1;3;24593;6;3;12055;24504;29;41;7;7;0;0;0;0;1;1;5;0.4;0;0;16;0;3;25;1364106558;11;0;11;7;1;7
546;PreambleEditor;0;1;0;2;4;0;0;20;95;10;6;0;17;46;11;9;4;251;133;6;99;43991;8;41306;21641;9;5;31778;23743;126;173;26;43894;7;44077;2;33;3;3;265;43835;0;0;71;2;13;55;1364106558;0;0;0;16;1;16
547;PreferencesDialog;0;0;0;0;3;4;3;10;85;13;6;0;37;104;18;4;2;300;161;0;201;44023;1;1;117;0;2;43952;0;281;223;23;44019;16;44018;2;0;6;6;283;43865;0;0;129;3;7;39;1438252412;0;0;0;25;1;32
548;PreferencesMigrations;0;0;0;0;1;0;1;29;38;4;1;0;2;19;6;1;4;108;69;44089;54;44057;1;3;20;7;4;17930;24563;671;79;14;14;10;43872;1;0;2;2;35;43952;0;0;59;4;3;13;1440509318;0;0;0;2;0;8
549;PrefsTab;0;0;0;0;0;0;0;0;2;4;1;0;0;4;6;18;4;57;6;0;0;78.9;1;4;0;0;1;0.67;0;282;7;0;0;17;70.8;0;0;1;1;5;43923;0;0;0;4;4;17;1364106558;0;0;0;0;0;0
550;PreventDraggingJTableHeader;0;1;0;1;5;0;0;9;36;6;5;0;2;27;9;1;4;112;39;44055;28;36.6;1;6;4;4;4;24473;42767;245;54;15;15;16;44096;0;0;1;1;5;0.3;0;0;25;0;6;31;1364106558;0;0;0;2;0;4
551;PreviewEntryFetcher;0;0;0;0;0;0;0;0;3;4;1;0;4;4;6;3;4;31;10;0;0;35.5;1;4;0;0;1;0.4;0;377;12;0;0;4;25;2;0;1;1;5;43922;0;0;0;4;4;13;1364106558;0;2;2;4;0;0
552;PreviewPanel;0;5;1;7;2;0;1;62;152;29;5;0;30;107;314;17;10;388;197;43985;148;17;5;5;17624;4;5;23377;18994;127;250;30;43958;34;12;3;0;10;5;263;43954;5;0;113;7;20;113;1080926576;0;6;6;17;0.666666667;12
553;PreviewPanelTransferHandler;0;0;0;0;0;0;0;6;22;7;0;0;7;24;19;1;5;79;32;43930;14;32.9;1;3;4;4;4;43466;2;187;40;7;7;9;43939;2;0;1;1;5;0.4;0;0;10;2;3;14;1364106558;0;0;0;5;1;3
554;PreviewPrefsTab;0;1;0;2;0;0;0;21;76;11;5;0;11;49;9;1;5;252;166;43862;129;43896;1;10;43843;3;5;43863;16072;283;209;10;10;1;0.5;0;0;5;5;52;0.8;0;0;124;0;6;81;1095101960;0;0;0;5;0.6;13
555;Printed;0;0;0;1;0;0;1;0;14;6;0;0;5;16;15;7;5;66;24;43865;12;43885;1;6;24473;2;3;42736;42736;708;37;7;7;1;43984;2;0;2;2;7;0.6;0;0;10;2;6;19;1414442047;9;0;9;6;0;7
556;Priority;0;0;0;1;0;0;1;0;15;5;0;0;5;12;8;8;4;71;30;43893;24;43973;1;5;43864;2;3;12055;43862;709;43;6;6;1;43892;2;0;2;2;7;0.5;0;0;16;2;5;26;1364106558;23;0;23;6;0;6
557;ProtectTermsFormatter;0;0;0;0;2;0;0;1;17;7;1;0;4;21;21;10;6;69;26;44046;9;44006;1;7;31413;2;3;11324;41640;472;41;9;9;2;44016;1;19;3;3;30;43923;0;0;14;1;6;4;1459521143;0;2;2;4;0;3
558;Protocol;0;0;0;1;2;0;0;2;25;5;1;0;2;21;0;2;4;70;41;43873;15;43990;1;4;27515;4;4;18629;43953;624;51;10;10;4;43897;4;0;4;4;35;43892;0;0;19;5;4;9;1438214712;0;0;0;0;1;0
559;ProxyAuthenticator;0;0;0;1;3;0;0;3;16;2;2;0;0;17;1;1;1;37;14;43904;13;40.5;1;1;9;4;4;33970;4;603;19;5;5;0;0;1;0;1;1;5;0.9;0;0;9;1;1;4;1455366690;0;0;0;0;0;0
560;ProxyPreferences;0;0;0;0;0;12;0;0;62;11;1;0;1;21;13;3;11;127;83;43854;26;0;1;11;23498;21;5;14277;29983;604;112;41;41;0;0;6;0;1;1;5;0.1;0;0;62;6;7;4;1454367796;27;0;27;1;0.5;8
561;ProxyRegisterer;0;0;0;0;0;0;1;0;5;2;1;0;1;11;1;2;2;23;12;25;12;43938;1;1;9;4;4;12086;4;605;16;3;3;4;20;2;0;2;2;35;43897;0;0;8;2;1;3;1454367796;0;0;0;1;0;6
562;PurifyFunction;0;0;0;0;0;0;0;4;16;2;1;0;6;10;0;1;2;59;18;43841;8;42.4;1;2;5;3;3;43952;2;8;24;6;6;6;20;1;0;2;2;25;43954;0;0;10;2;2;11;1364106558;0;0;0;5;1;4
563;PushToApplication;0;0;0;0;0;0;0;0;14;9;1;0;3;9;36;12;9;81;18;0;0;59.3;1;9;0;0;1;0.5;0;83;19;0;0;18;48.6;4;0;1;1;5;0.9;0;0;0;10;9;21;1364106558;0;0;0;4;0;0
564;PushToApplicationAction;0;1;0;1;6;0;0;10;41;5;2;0;10;35;0;1;3;111;53;17;35;43973;1;4;8;7;5;28126;27454;84;72;17;17;8;10;0;0;1;1;5;0.2;0;0;34;0;4;47;1364106558;0;0;0;6;0.8;14
565;PushToApplicationButton;0;0;0;0;4;0;0;49;157;18;1;0;18;101;81;5;5;327;148;0;164;43935;2;1;49.5;1;3;20455;1;85;228;30;6;22;44051;5;0;3;3;20;0.3;0;0;111;6;17;62;1364106558;0;0;0;14;0.705882353;25
566;PushToApplications;0;0;0;0;0;0;1;0;4;3;1;0;7;13;1;2;2;43;14;0;16;41.9;1;0;0;0;2;13150;0;86;19;0;0;1;5;1;0;2;2;35;43836;0;0;9;1;0;8;1444415608;0;0;0;8;0;0
567;PushToEmacs;0;0;1;1;3;6;0;27;64;12;0;0;17;61;42;1;7;187;99;43841;68;43935;1;11;33359;10;7;41306;43953;87;135;21;21;10;44080;0;47;7;7;101;43953;0;0;59;1;9;61;1364106558;0;0;0;12;0.588235294;18
568;PushToLatexEditor;0;0;1;1;0;0;0;1;9;6;0;0;4;13;15;1;3;53;15;0;3;34;1;5;1;1;2;1;1;88;26;5;5;1;44015;0;0;1;1;5;0.6;0;0;5;1;5;40;1364106558;0;0;0;5;0.5;2
569;PushToLyx;0;0;1;2;1;0;0;9;28;9;0;0;13;39;26;1;5;130;70;43932;32;43843;2;43954;6;9;4;26299;25965;89;93;18;18;2;43832;1;0;2;2;16;0.6;0;0;38;1;6;45;1103714313;0;0;0;11;0.7;8
570;PushToTexmaker;0;0;1;1;0;0;0;0;7;5;0;0;3;12;10;1;3;49;13;0;3;38.8;1;4;1;1;2;0.92;1;91;22;4;4;1;43894;0;0;1;1;5;0.8;0;0;4;1;4;9;1444222955;0;0;0;4;0.5;2
571;PushToTeXstudio;0;0;1;1;0;0;0;0;8;5;0;0;3;9;10;1;3;48;13;0;4;39.6;1;4;1;1;2;0.92;1;90;22;4;4;2;43898;0;0;1;1;5;0.8;0;0;4;1;4;31;1364106558;0;0;0;4;0.5;2
572;PushToVim;0;0;1;1;2;0;0;12;40;11;0;0;16;51;31;1;7;157;77;44023;45;44024;1;10;44016;8;7;43953;16103;92;113;18;18;3;43984;0;48;5;5;85;43953;0;0;42;1;8;53;1364106558;0;0;0;11;0.692307692;14
573;PushToWinEdt;0;0;1;1;0;0;0;0;8;5;0;0;3;12;10;1;3;45;13;0;4;33.3;1;4;1;1;2;0.92;1;93;23;4;4;0;0;1;0;1;1;5;0.7;0;0;4;1;4;43;1364106558;0;0;0;4;0.5;2
574;Quality;0;0;0;1;0;0;1;1;16;6;0;0;5;13;15;7;5;67;24;43865;10;44097;1;6;24473;2;3;42736;42736;710;38;7;7;1;43984;2;0;2;2;7;0.6;0;0;10;2;6;22;1364106558;10;0;10;6;0;6
575;QuotedStringTokenizer;0;0;0;0;0;0;0;4;26;4;1;0;0;11;0;3;3;84;36;43940;14;40.5;1;4;45809;8;5;11355;45717;661;45;13;13;15;25;2;0;1;1;5;0.4;0;0;23;4;4;19;1364106558;0;0;0;0;1;0
576;Rank;0;0;0;1;1;0;1;1;15;5;0;0;5;13;10;7;4;64;22;0;34;44008;1;1;13;0;2;46388;0;711;37;6;6;2;43835;2;0;3;3;12;43831;0;0;14;2;5;22;1364106558;28;0;28;6;0;6
577;RankingFieldComparator;0;1;0;1;0;0;0;1;15;3;1;0;1;6;3;1;3;57;22;36.4;3;40.4;1;1;16;9;5;43953;9;316;29;10;10;5;44026;0;0;1;1;5;0.6;0;0;12;1;1;14;1364106558;0;0;0;2;0;2
578;ReadStatus;0;0;0;1;0;0;1;0;15;5;0;0;5;12;8;8;4;71;28;43985;19;43973;1;5;44045;2;3;47119;43862;712;43;6;6;1;43892;2;0;2;2;7;0.5;0;0;14;2;5;24;1414442047;18;0;18;6;0;6
579;RegexBasedSearchRule;0;0;0;1;2;0;1;5;29;5;1;0;3;18;0;3;4;81;36;44028;11;43883;1;4;27515;6;5;33604;3;638;49;14;14;1;2;1;0;3;3;25;44013;0;0;22;2;3;16;1438262128;0;0;0;3;1;5
580;RegExpFileSearch;0;0;0;0;21;12;5;30;159;10;1;0;7;73;39;3;4;355;137;43854;93;34.4;1;5;44062;20;7;12086;44050;76;187;46;46;78;43950;0;0;14;14;183;43893;0;0;116;4;7;38;1364106558;0;0;0;4;1;6
581;RelativePathsCleanup;0;0;0;0;5;0;0;9;33;2;1;0;7;25;0;1;2;70;37;43964;20;44000;1;2;10;6;4;21551;43954;448;46;8;8;0;0;2;18;2;2;25;44044;0;0;20;2;2;13;1450622804;0;0;0;7;1;9
582;Relevance;0;0;0;1;0;0;1;0;14;6;0;0;5;16;15;7;5;66;24;43865;12;44068;1;6;24473;2;3;42736;42736;713;37;7;7;2;43835;2;0;2;2;7;0.6;0;0;10;2;6;21;1364106558;9;0;9;6;0;7
583;RemoteListenerClient;0;0;1;1;0;0;1;1;18;3;1;0;4;24;1;2;2;50;28;43837;14;12;2;0.5;17;3;5;46784;3;619;34;6;6;3;43838;1;0;3;3;45;43925;0;0;15;2;1;12;1438214712;0;0;0;2;0.666666667;5
584;RemoteListenerServer;0;0;0;0;0;0;0;1;22;4;1;0;4;21;0;1;3;80;39;44055;15;20;1;4;45778;5;5;44228;24504;621;50;9;9;1;2;3;0;4;4;35;43892;0;0;18;3;3;10;1438214712;0;0;0;2;0.8;5
585;RemoteListenerServerLifecycle;0;0;0;0;4;0;0;1;24;9;1;0;5;16;14;4;8;77;37;43964;13;44090;1;7;3;4;3;21551;2;622;50;15;15;9;43905;5;0;2;2;15;1;0;0;19;7;7;9;1438214712;3;0;3;3;0.666666667;3
586;RemoteListenerServerThread;0;0;0;0;0;0;0;1;16;4;2;0;4;17;0;1;3;50;16;0;8;36;1;3;2;1;2;43983;1;623;22;3;3;1;43894;1;0;1;1;5;0.8;0;0;6;2;3;5;1438214712;0;0;0;2;1;3
587;RemotePreferences;0;0;0;0;0;0;0;0;15;6;1;0;1;11;0;2;6;40;18;0;5;43958;1;6;1;1;2;42736;1;617;25;6;6;1;44046;6;0;1;1;5;0.7;0;0;6;7;6;4;1438214712;7;3;10;1;0.5;4
588;RemoteUtil;0;0;0;0;0;0;1;0;4;2;1;0;0;3;1;2;2;8;4;0;0;0;1;1;1;2;2;0.75;2;618;6;2;2;0;0;2;0;2;2;35;43940;0;0;1;2;1;7;1438214712;0;0;0;0;0;0
589;RemoveBracesFormatter;0;0;0;0;6;0;0;6;27;7;1;0;2;13;21;4;6;76;34;44002;12;43847;1;6;30376;6;4;43892;43953;466;52;16;16;8;43903;0;0;1;1;5;0.3;0;0;22;1;6;5;1456088365;0;0;0;2;0;2
590;RemoveBrackets;0;0;0;0;3;0;0;0;8;2;1;0;1;8;1;5;2;24;9;43883;5;43890;1;1;5;4;4;20455;4;574;14;4;4;4;43883;0;0;1;1;5;43862;0;0;6;1;1;16;1364106558;0;0;0;1;0;0
591;RemoveBracketsAddComma;0;0;0;0;1;0;0;0;8;2;1;0;1;8;1;2;2;22;11;43917;6;43995;1;1;7;4;4;33239;4;575;16;4;4;1;44079;0;0;1;1;5;1;0;0;8;1;1;16;1364106558;0;0;0;1;0;0
592;RemoveFromGroupAction;0;1;0;1;0;0;0;6;24;5;2;0;11;23;0;2;5;68;30;44018;21;43977;1;5;3;3;3;43891;43922;203;39;7;7;3;43837;3;0;1;1;5;0.4;0;0;15;3;3;29;1364106558;0;0;0;6;1;17
593;RemoveLatexCommands;0;0;0;0;26;10;1;12;63;2;1;0;1;14;1;4;2;82;45;33.3;20;22;1;1;40;23;6;13210;23;576;57;19;19;3;5;1;14;6;6;69;4;0;0;36;1;1;21;1364106558;3;0;3;2;0;0
594;RemoveTilde;0;0;0;0;2;0;0;0;9;2;1;0;1;8;1;2;2;31;15;44038;7;43940;1;1;11;6;5;17199;6;577;21;5;5;3;43963;0;0;2;2;15;43923;0;0;10;1;1;16;1364106558;0;0;0;1;0;0
595;RemoveWhitespace;0;0;0;0;1;0;0;0;9;2;1;0;1;10;1;4;2;66;11;43917;7;62.1;1;1;7;5;4;26665;5;578;17;6;6;18;51.4;0;0;1;1;5;1;0;0;8;1;1;12;1364106558;0;0;0;1;0;0
596;RenamePdfCleanup;0;0;0;0;8;6;0;32;95;3;1;0;9;44;0;2;3;134;65;44090;57;43850;1;3;14.33;16;5;43863;6;449;87;17;17;14;44087;2;0;4;4;61;43892;0;0;44;2;2;23;1450622804;0;0;0;8;1;14
597;RepecNepImporter;0;0;0;0;26;19;2;28;162;16;0;0;6;61;40;3;7;463;171;43909;156;43;1;15;24685;22;6;25965;31503;400;226;69;69;141;38.4;0;0;9;7;87;43891;2;0;123;1;14;56;1364106558;0;0;0;4;1;10
598;Replace;0;0;0;0;2;0;0;0;19;3;0;0;1;6;1;2;3;74;15;43903;2;62.2;1;2;4;3;3;17168;43953;579;22;7;7;22;50;0;0;3;3;5;0.8;0;0;8;1;2;15;1364106558;0;0;0;1;1;1
599;ReplaceStringDialog;0;0;0;0;7;0;4;7;86;7;6;0;10;65;9;2;4;243;168;43926;109;44085;2;43954;17.86;7;5;27395;47150;128;190;17;17;10;5;2;0;2;2;245;43894;0;0;125;3;6;46;1364106558;0;0;0;7;0.857142857;16
600;ResolveDuplicateLabelDialog;0;0;0;0;4;0;0;0;49;9;1;0;15;59;8;2;5;159;79;0;70;43999;2;0.5;47;0;3;16072;0;234;107;4;4;7;43836;1;0;1;1;5;0.2;0;0;50;1;2;36;1364106558;0;0;0;6;1;9
