;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total;DAC;LD;MPC
425;LatexFieldFormatter;0;0;0;0;24;17;1;22;126;11;1;0;5;51;27;13;3;305;149;43887;79;43910;1;11;11;27;6;22678;6;433;200;69;69;42;43938;2;0;9;9;85;43922;0;0;116;4;11;91;1066683406;17;0;17;5;0.8;9
426;LatexToUnicodeFormatter;0;0;1;1;29;12;2;42;123;7;1;0;6;28;19;8;6;219;109;43920;57;43855;1;5;44061;42;8;13971;43870;567;144;37;37;34;43849;0;73;13;13;168;44077;0;0;84;1;5;4;1468368000;4;0;4;6;0.25;4
427;Layout;0;0;0;0;5;8;0;6;56;7;1;0;9;35;5;12;6;162;78;32.1;29;43883;1;6;12298;13;7;30348;30376;521;98;25;25;15;43903;4;0;4;4;35;43862;0;0;51;7;6;59;1364106558;0;0;0;8;1;6
428;LayoutEntry;0;0;0;0;44;30;1;36;298;14;1;0;77;133;27;2;7;707;477;53.2;189;43839;1;13;28.69;64;9+;3;13.46;522;554;251;251;40;44018;2;0;21;19;370;43863;1;1;272;3;11;93;1364106558;3;0;3;74;0.5;26
429;LayoutFormatter;0;0;0;0;0;0;0;0;4;1;1;0;0;1;0;88;1;46;3;0;0;84.8;1;1;0;0;1;0.33;0;523;5;0;0;15;75;0;0;1;1;5;43893;0;0;0;2;1;12;1364106558;0;0;0;0;0;0
430;LayoutHelper;0;0;1;2;59;21;2;5;164;12;1;0;3;41;20;8;4;389;197;44102;86;43968;1;12;13.42;26;7;13210;15523;524;255;99;99;44;44026;3;0;16;16;169;43863;0;0;155;4;11;65;1364106558;0;0;0;3;0.214285714;5
431;Linux;0;1;1;4;1;0;1;27;51;6;1;0;3;36;15;1;6;88;56;43942;41;43831;1;5;43869;6;4;33239;44046;170;72;15;15;1;43922;1;0;1;1;5;0.2;0;0;37;1;5;12;1457989677;0;0;0;3;0;3
432;ListAutoCompleteRenderer;0;0;0;0;3;0;0;2;25;7;0;0;2;38;0;1;6;88;49;43871;25;43995;1;6;30407;4;4;19360;43953;161;63;10;10;7;10;0;0;1;1;5;0.3;0;0;27;1;5;12;1442051540;0;0;0;1;1;0
433;ListSynchronizer;0;0;0;0;0;0;0;4;17;6;1;0;7;18;0;2;4;77;35;44076;20;43944;1;6;12114;2;4;43983;42736;236;49;7;7;3;44048;5;0;1;1;5;0.3;0;0;17;5;6;3;1459878513;0;0;0;4;1;4
434;Localization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;52;43991;40;44021;1;2;43968;6;3;23743;6;513;75;15;15;7;43959;4;0;3;3;45;2;0;0;36;4;5;0;1468368000;0;53;53;4;0.6;6
