	file	good	path
65	TimeStamp	False	src/main/java/net/sf/jabref/logic/util/date/TimeStamp.java
66	Defaults	False	src/main/java/net/sf/jabref/Defaults.java
67	FreeCiteImporter	False	src/main/java/net/sf/jabref/importer/fileformat/FreeCiteImporter.java
68	SpecialField	False	src/main/java/net/sf/jabref/specialfields/SpecialField.java
69	Quality	False	src/main/java/net/sf/jabref/specialfields/Quality.java
70	RemotePreferences	False	src/main/java/net/sf/jabref/logic/remote/RemotePreferences.java
71	EasyDateFormat	False	src/main/java/net/sf/jabref/logic/util/date/EasyDateFormat.java
72	ACMPortalFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/ACMPortalFetcher.java
73	FileUtil	False	src/main/java/net/sf/jabref/logic/util/io/FileUtil.java
74	CustomEntryType	False	src/main/java/net/sf/jabref/model/entry/CustomEntryType.java
75	Printed	False	src/main/java/net/sf/jabref/specialfields/Printed.java
76	Relevance	False	src/main/java/net/sf/jabref/specialfields/Relevance.java
77	ExportFormat	False	src/main/java/net/sf/jabref/exporter/ExportFormat.java
78	FieldFormatterCleanup	False	src/main/java/net/sf/jabref/logic/cleanup/FieldFormatterCleanup.java
79	GoogleScholarFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/GoogleScholarFetcher.java
80	XMPSchemaBibtex	False	src/main/java/net/sf/jabref/logic/xmp/XMPSchemaBibtex.java
81	WrapFileLinks	False	src/main/java/net/sf/jabref/logic/layout/format/WrapFileLinks.java
82	HtmlToLatexFormatter	False	src/main/java/net/sf/jabref/logic/formatter/bibtexfields/HtmlToLatexFormatter.java
83	FileLink	False	src/main/java/net/sf/jabref/logic/layout/format/FileLink.java
84	DBStrings	False	src/main/java/net/sf/jabref/sql/DBStrings.java
85	FileHistory	False	src/main/java/net/sf/jabref/logic/util/io/FileHistory.java
86	LastFocusedTabPreferences	False	src/main/java/net/sf/jabref/logic/preferences/LastFocusedTabPreferences.java
87	VersionPreferences	False	src/main/java/net/sf/jabref/logic/util/VersionPreferences.java
88	OpenDatabaseAction	False	src/main/java/net/sf/jabref/importer/OpenDatabaseAction.java
89	PreviewPanel	False	src/main/java/net/sf/jabref/gui/PreviewPanel.java
90	FetcherPreviewDialog	False	src/main/java/net/sf/jabref/gui/FetcherPreviewDialog.java
91	GroupTreeNode	False	src/main/java/net/sf/jabref/logic/groups/GroupTreeNode.java
92	BibEntryWriter	False	src/main/java/net/sf/jabref/logic/bibtex/BibEntryWriter.java
93	JabRefExecutorService	False	src/main/java/net/sf/jabref/JabRefExecutorService.java
94	MetaDataChange	False	src/main/java/net/sf/jabref/collab/MetaDataChange.java
95	AbstractLabelPattern	False	src/main/java/net/sf/jabref/logic/labelpattern/AbstractLabelPattern.java
96	UndoableInsertString	False	src/main/java/net/sf/jabref/gui/undo/UndoableInsertString.java
97	DatabaseFileLookup	False	src/main/java/net/sf/jabref/importer/DatabaseFileLookup.java
98	UndoableInsertEntry	False	src/main/java/net/sf/jabref/gui/undo/UndoableInsertEntry.java
99	CustomEntryTypesManager	False	src/main/java/net/sf/jabref/logic/CustomEntryTypesManager.java
100	FileListEntry	False	src/main/java/net/sf/jabref/gui/FileListEntry.java
101	GlobalLabelPattern	False	src/main/java/net/sf/jabref/logic/labelpattern/GlobalLabelPattern.java
102	ArgumentProcessor	False	src/main/java/net/sf/jabref/cli/ArgumentProcessor.java
103	BibEntry	False	src/main/java/net/sf/jabref/model/entry/BibEntry.java
104	JabRefDesktop	False	src/main/java/net/sf/jabref/gui/desktop/JabRefDesktop.java
105	SearchGroup	False	src/main/java/net/sf/jabref/logic/groups/SearchGroup.java
106	SaveSession	False	src/main/java/net/sf/jabref/exporter/SaveSession.java
